"","hgnc_symbol","log2FoldChange","padj","description"
"ENST00000372397.6","TSC22D3",4.25646922316246,7.71122215970247e-134,"TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]"
"ENST00000262878.5","SAMHD1",5.05643275385406,9.63730310005018e-96,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"ENST00000357266.9","FKBP5",4.22838339798927,1.25824872122947e-72,"FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]"
"ENST00000339526.8","GLUL",3.63205094081286,1.28215851580719e-67,"glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"ENST00000262424.10","CRISPLD2",2.93928004034533,3.76922670556536e-55,"cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]"
"ENST00000463851.6","GLUL",2.88781428704153,8.47808798155161e-50,"glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"ENST00000282470.11","SPARCL1",4.79866673649734,2.36098920669627e-46,"SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]"
"ENST00000625860.2","ADH1B",1.5155159565695,9.64218834861301e-43,"alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]"
"ENST00000338702.4","MAOA",3.34646817914121,1.06317677165874e-39,"monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
"ENST00000225964.10","COL1A1",-1.27924563565963,1.85254532709754e-30,"collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]"
"ENST00000294728.7","VCAM1",-3.60467014129133,1.41787630303337e-28,"vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]"
"ENST00000377126.4","KLF9",2.18158189847078,2.73939427363615e-27,"KLF transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]"
"ENST00000646673.2","SAMHD1",3.77507190082801,2.92203562436221e-27,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"ENST00000546313.1","NNMT",2.14678435523185,1.8008543917243e-24,"nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]"
"ENST00000296233.4","KLF15",4.56588593205568,4.27733904322616e-24,"KLF transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]"
"ENST00000688799.1","LAMA2",4.16807981396682,4.92457305991514e-22,"laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]"
"ENST00000489818.5","GLUL",3.10011681578742,4.55961682075712e-21,"glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"ENST00000286713.7","STOM",1.43583755430637,1.10871950111942e-20,"stomatin [Source:HGNC Symbol;Acc:HGNC:3383]"
"ENST00000262065.8","MMD",1.92760808069737,1.69036457124553e-19,"monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]"
"ENST00000249377.4","LRRC17",-2.69723775374799,6.43544273521499e-18,"leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]"
